digit_count,Year,month,mean_monthly_temp,mean_monthly_rainfall,littoral_mean_monthly_ndvi,littoral_vegetation_area,mean_monthly_ndbi,Bare_soil_area,mean_monthly_ndwi,water_area,hyacinth_mean_monthly_ndvi,hyacinth_area
155,1996,12,0,1.84,0,0,0,0,0,0,0,0
156,1997,1,0,2.22,0,0,0,0,0,0,0,0
157,1997,2,0,0.39,0,0,0,0,0,0,0,0
158,1997,3,0,2.97,0,0,0,0,0,0,0,0
159,1997,4,0,8.96,0,0,0,0,0,0,0,0
160,1997,5,0,5.03,0,0,0,0,0,0,0,0
161,1997,6,0,3.27,0,0,0,0,0,0,0,0
162,1997,7,0,2.17,0,0,0,0,0,0,0,0
163,1997,8,0,3.69,0,0,0,0,0,0,0,0
164,1997,9,0,0.66,0,0,0,0,0,0,0,0
165,1997,10,0,4.82,0,0,0,0,0,0,0,0
166,1997,11,0,7.71,0,0,0,0,0,0,0,0
167,1997,12,0,8.96,0,0,0,0,0,0,0,0
168,1998,1,0,6.09,0,0,0,0,0,0,0,0
169,1998,2,0,2.4,0,0,0,0,0,0,0,0
170,1998,3,0,2.6,0,0,0,0,0,0,0,0
171,1998,4,0,8.24,0,0,0,0,0,0,0,0
172,1998,5,0,5.85,0,0,0,0,0,0,0,0
173,1998,6,0,4.74,0,0,0,0,0,0,0,0
174,1998,7,0,2.56,0,0,0,0,0,0,0,0
175,1998,8,0,2.37,0,0,0,0,0,0,0,0
176,1998,9,0,4.12,0,0,0,0,0,0,0,0
177,1998,10,0,3.62,0,0,0,0,0,0,0,0
178,1998,11,0,1.95,0,0,0,0,0,0,0,0
179,1998,12,0,1,0,0,0,0,0,0,0,0
180,1999,1,0,2.74,0,0,0,0,0,0,0,0
181,1999,2,0,0.4,0,0,0,0,0,0,0,0
182,1999,3,0,8.18,0,0,0,0,0,0,0,0
183,1999,4,0,7.09,0,0,0,0,0,0,0,0
184,1999,5,0,5.79,0,0,0,0,0,0,0,0
185,1999,6,0,3.34,0,0,0,0,0,0,0,0
186,1999,7,17,2.32,0.11,117.8865,-0.05,15.6564,0,0,0,0
187,1999,8,0,4.23,0,0,0,0,0,0,0,0
188,1999,9,32,4.05,0.2,146.988,-0.04,53.1972,0,0,0,0
189,1999,10,30,5.22,0.26,966.7764,-0.08,127.0521,0.04,0.0216,-0.02,8.7867
190,1999,11,2,4.06,0.1,120.2391,-0.12,9.6858,0,0,0,0
191,1999,12,34,2.99,0.29,906.7581,-0.08,67.3506,0.03,0.0027,-0.01,7.983
192,2000,1,-1,1.11,-0.05,328.0689,-0.02,440.6013,0.17,83.8368,-0.17,0.0378
193,2000,2,39,0.22,0.19,177.4782,0.02,123.7401,0,0,0,0
194,2000,3,38,3.49,0.15,869.5881,0.04,798.7059,0.04,0,-0.03,3.2904
195,2000,4,-11,5.32,-0.05,413.5185,-0.1,71.4474,0.15,83.3283,-0.17,0.5238
196,2000,5,15,5.99,0.19,279.783,-0.12,11.9772,0,0,0,0
197,2000,6,24,3.47,0.27,207.882,-0.1,21.7368,0,0,0,0
198,2000,7,6,3.06,0.08,596.1609,-0.07,119.2203,0.12,58.6674,-0.13,0.5769
199,2000,8,26,2.92,0.19,906.6051,-0.03,374.2515,0.04,9.5301,-0.04,4.9455
200,2000,9,0,3.61,0,0,0,0,0,0,0,0
201,2000,10,32,3.68,0.27,213.1218,-0.06,54.1503,0,0,0,0
202,2000,11,-17,5.56,0.07,666.6543,-0.08,24.4251,0.06,29.9997,-0.08,0.5913
203,2000,12,27,4.56,0.2,850.3335,-0.08,100.8126,0.04,4.6017,-0.02,5.2587
